iter	Passed	Remaining
0	16	4481
1	26	3618
2	44	4108
3	60	4144
4	80	4418
5	98	4472
6	115	4487
7	133	4507
8	146	4384
9	162	4364
10	179	4366
11	199	4413
12	214	4374
13	231	4359
14	247	4344
15	265	4343
16	282	4331
17	301	4352
18	317	4329
19	334	4311
20	350	4291
21	367	4274
22	387	4292
23	406	4300
24	423	4289
25	441	4276
26	459	4273
27	477	4265
28	495	4252
29	513	4246
30	529	4218
31	546	4200
32	566	4202
33	582	4183
34	599	4163
35	616	4142
36	635	4136
37	652	4121
38	670	4107
39	687	4090
40	704	4073
41	722	4061
42	741	4053
43	758	4035
44	776	4018
45	793	4002
46	814	4003
47	834	3996
48	851	3978
49	869	3965
50	887	3952
51	907	3945
52	925	3927
53	943	3912
54	960	3893
55	977	3875
56	995	3859
57	1013	3842
58	1030	3824
59	1049	3813
60	1067	3797
61	1082	3770
62	1103	3765
63	1120	3745
64	1137	3727
65	1157	3718
66	1175	3700
67	1192	3682
68	1209	3662
69	1226	3644
70	1245	3630
71	1264	3616
72	1281	3598
73	1300	3583
74	1317	3565
75	1335	3550
76	1352	3529
77	1372	3518
78	1390	3501
79	1406	3480
80	1425	3466
81	1442	3447
82	1460	3431
83	1477	3413
84	1494	3393
85	1513	3379
86	1531	3362
87	1549	3344
88	1567	3327
89	1585	3312
90	1602	3293
91	1619	3275
92	1637	3256
93	1654	3238
94	1672	3222
95	1690	3204
96	1708	3187
97	1724	3167
98	1742	3149
99	1759	3131
100	1777	3115
101	1795	3098
102	1811	3078
103	1827	3057
104	1845	3040
105	1863	3023
106	1881	3006
107	1898	2988
108	1918	2974
109	1935	2956
110	1953	2938
111	1970	2920
112	1988	2903
113	2008	2888
114	2025	2870
115	2042	2851
116	2061	2837
117	2083	2825
118	2101	2807
119	2117	2788
120	2134	2769
121	2156	2757
122	2177	2743
123	2193	2724
124	2210	2705
125	2228	2687
126	2243	2667
127	2261	2649
128	2277	2630
129	2292	2609
130	2309	2591
131	2328	2575
132	2345	2557
133	2361	2537
134	2378	2519
135	2393	2498
136	2408	2478
137	2425	2460
138	2442	2442
139	2457	2422
140	2468	2398
141	2482	2377
142	2497	2357
143	2512	2338
144	2530	2320
145	2550	2305
146	2568	2288
147	2587	2272
148	2602	2253
149	2619	2235
150	2639	2219
151	2656	2202
152	2669	2181
153	2689	2165
154	2704	2145
155	2721	2128
156	2739	2111
157	2756	2093
158	2774	2076
159	2785	2054
160	2802	2036
161	2818	2017
162	2832	1998
163	2850	1981
164	2868	1964
165	2882	1944
166	2899	1927
167	2917	1910
168	2939	1895
169	2954	1877
170	2972	1860
171	2988	1841
172	3005	1824
173	3021	1805
174	3035	1786
175	3051	1768
176	3072	1753
177	3091	1736
178	3107	1718
179	3124	1700
180	3139	1682
181	3156	1664
182	3172	1646
183	3188	1629
184	3203	1610
185	3218	1592
186	3234	1574
187	3249	1555
188	3265	1537
189	3280	1519
190	3298	1502
191	3317	1486
192	3334	1468
193	3350	1450
194	3366	1433
195	3384	1415
196	3403	1399
197	3419	1381
198	3438	1364
199	3453	1346
200	3467	1328
201	3482	1310
202	3500	1293
203	3516	1275
204	3534	1258
205	3550	1241
206	3567	1223
207	3584	1206
208	3601	1189
209	3617	1171
210	3635	1154
211	3650	1136
212	3666	1119
213	3681	1101
214	3699	1084
215	3715	1066
216	3732	1049
217	3748	1031
218	3764	1014
219	3778	996
220	3793	978
221	3808	960
222	3823	943
223	3838	925
224	3855	908
225	3871	890
226	3885	872
227	3903	855
228	3917	838
229	3931	820
230	3948	803
231	3964	786
232	3981	768
233	3995	751
234	4009	733
235	4025	716
236	4040	698
237	4055	681
238	4069	664
239	4087	647
240	4102	629
241	4118	612
242	4133	595
243	4149	578
244	4163	560
245	4177	543
246	4194	526
247	4209	509
248	4223	491
249	4239	474
250	4253	457
251	4268	440
252	4283	423
253	4298	406
254	4315	389
255	4330	372
256	4343	354
257	4357	337
258	4371	320
259	4384	303
260	4398	286
261	4411	269
262	4426	252
263	4439	235
264	4454	218
265	4467	201
266	4479	184
267	4493	167
268	4506	150
269	4518	133
270	4531	117
271	4547	100
272	4559	83
273	4572	66
274	4584	50
275	4598	33
276	4611	16
277	4625	0
