iter	Passed	Remaining
0	62	29743
1	72	17141
2	85	13415
3	97	11495
4	111	10476
5	122	9573
6	135	9095
7	146	8597
8	158	8250
9	170	7938
10	181	7672
11	193	7467
12	204	7295
13	217	7184
14	230	7089
15	242	6965
16	253	6852
17	265	6758
18	277	6676
19	288	6583
20	300	6510
21	312	6457
22	325	6409
23	337	6347
24	350	6327
25	362	6281
26	374	6235
27	387	6198
28	400	6180
29	414	6162
30	428	6156
31	442	6138
32	456	6126
33	468	6091
34	480	6058
35	492	6023
36	505	5991
37	517	5963
38	530	5948
39	545	5946
40	559	5933
41	572	5915
42	584	5885
43	598	5878
44	611	5852
45	624	5839
46	638	5827
47	651	5813
48	664	5790
49	675	5759
50	689	5745
51	701	5721
52	714	5700
53	727	5681
54	740	5667
55	752	5645
56	765	5627
57	778	5608
58	790	5587
59	803	5574
60	815	5547
61	827	5528
62	841	5515
63	856	5515
64	869	5500
65	882	5479
66	894	5460
67	907	5442
68	919	5425
69	931	5399
70	944	5389
71	958	5379
72	972	5367
73	985	5351
74	996	5329
75	1009	5315
76	1022	5299
77	1035	5282
78	1046	5260
79	1059	5244
80	1074	5238
81	1087	5223
82	1100	5211
83	1113	5195
84	1127	5184
85	1139	5168
86	1152	5154
87	1164	5134
88	1178	5124
89	1190	5107
90	1202	5087
91	1213	5066
92	1228	5058
93	1240	5042
94	1253	5027
95	1266	5011
96	1279	4999
97	1292	4984
98	1304	4968
99	1318	4958
100	1333	4951
101	1346	4938
102	1362	4934
103	1377	4925
104	1393	4923
105	1405	4907
106	1418	4891
107	1431	4879
108	1444	4863
109	1457	4849
110	1470	4836
111	1487	4833
112	1499	4817
113	1512	4801
114	1524	4787
115	1537	4772
116	1551	4760
117	1564	4747
118	1577	4731
119	1590	4718
120	1605	4709
121	1619	4699
122	1633	4689
123	1648	4678
124	1662	4667
125	1675	4654
126	1688	4639
127	1703	4631
128	1717	4618
129	1729	4602
130	1740	4584
131	1752	4568
132	1766	4555
133	1779	4540
134	1791	4525
135	1803	4508
136	1817	4498
137	1831	4484
138	1845	4474
139	1857	4458
140	1871	4446
141	1884	4431
142	1897	4418
143	1911	4407
144	1924	4392
145	1937	4379
146	1950	4364
147	1962	4349
148	1974	4333
149	1987	4318
150	1999	4303
151	2016	4297
152	2028	4283
153	2042	4269
154	2054	4255
155	2067	4241
156	2079	4225
157	2092	4210
158	2104	4196
159	2118	4183
160	2132	4171
161	2144	4156
162	2155	4139
163	2168	4125
164	2180	4109
165	2193	4095
166	2205	4081
167	2218	4066
168	2235	4061
169	2249	4048
170	2262	4035
171	2275	4022
172	2287	4006
173	2299	3991
174	2311	3976
175	2324	3962
176	2336	3946
177	2349	3933
178	2362	3919
179	2375	3905
180	2388	3892
181	2402	3881
182	2415	3866
183	2428	3853
184	2442	3842
185	2458	3833
186	2470	3818
187	2482	3803
188	2494	3788
189	2506	3773
190	2518	3758
191	2530	3742
192	2542	3728
193	2556	3715
194	2568	3701
195	2580	3686
196	2593	3673
197	2605	3658
198	2617	3643
199	2630	3630
200	2644	3618
201	2659	3607
202	2672	3593
203	2684	3579
204	2696	3564
205	2709	3550
206	2722	3538
207	2735	3524
208	2748	3510
209	2760	3496
210	2774	3484
211	2787	3470
212	2799	3456
213	2811	3442
214	2823	3427
215	2836	3414
216	2849	3401
217	2862	3387
218	2877	3376
219	2890	3363
220	2902	3349
221	2914	3335
222	2929	3323
223	2941	3309
224	2955	3296
225	2968	3283
226	2980	3269
227	2993	3256
228	3006	3242
229	3019	3229
230	3031	3215
231	3042	3200
232	3056	3187
233	3069	3174
234	3084	3162
235	3096	3149
236	3108	3134
237	3121	3121
238	3136	3109
239	3149	3097
240	3162	3083
241	3173	3068
242	3187	3056
243	3200	3042
244	3212	3029
245	3224	3015
246	3238	3002
247	3251	2989
248	3264	2975
249	3275	2961
250	3289	2948
251	3302	2935
252	3315	2922
253	3326	2907
254	3339	2894
255	3352	2881
256	3366	2868
257	3380	2856
258	3393	2843
259	3409	2832
260	3422	2819
261	3437	2807
262	3450	2794
263	3463	2781
264	3475	2767
265	3488	2754
266	3502	2741
267	3515	2728
268	3527	2714
269	3538	2699
270	3550	2686
271	3563	2672
272	3575	2658
273	3586	2644
274	3599	2630
275	3613	2618
276	3626	2605
277	3639	2592
278	3654	2580
279	3668	2567
280	3682	2555
281	3695	2542
282	3707	2528
283	3723	2516
284	3735	2503
285	3748	2490
286	3761	2477
287	3773	2463
288	3786	2449
289	3799	2437
290	3813	2424
291	3825	2410
292	3837	2396
293	3850	2383
294	3863	2370
295	3875	2356
296	3888	2343
297	3900	2329
298	3917	2319
299	3930	2305
300	3941	2291
301	3953	2277
302	3965	2264
303	3978	2251
304	3992	2238
305	4003	2223
306	4015	2210
307	4028	2197
308	4040	2183
309	4051	2169
310	4062	2155
311	4074	2141
312	4086	2127
313	4098	2114
314	4110	2100
315	4121	2086
316	4134	2073
317	4149	2061
318	4162	2048
319	4178	2036
320	4193	2024
321	4205	2011
322	4219	1998
323	4234	1986
324	4248	1973
325	4262	1961
326	4275	1948
327	4288	1935
328	4303	1922
329	4315	1909
330	4329	1896
331	4343	1883
332	4357	1871
333	4371	1858
334	4384	1845
335	4401	1834
336	4416	1821
337	4429	1808
338	4441	1795
339	4457	1782
340	4471	1770
341	4485	1757
342	4498	1744
343	4512	1731
344	4527	1719
345	4541	1706
346	4555	1693
347	4566	1679
348	4580	1666
349	4593	1653
350	4607	1640
351	4619	1627
352	4633	1614
353	4648	1601
354	4665	1590
355	4678	1577
356	4692	1564
357	4706	1551
358	4720	1538
359	4733	1525
360	4747	1512
361	4762	1499
362	4776	1486
363	4790	1473
364	4803	1460
365	4813	1446
366	4825	1433
367	4837	1419
368	4848	1405
369	4860	1392
370	4872	1378
371	4883	1365
372	4894	1351
373	4907	1338
374	4919	1324
375	4930	1311
376	4941	1297
377	4957	1285
378	4969	1271
379	4979	1258
380	4991	1244
